fwhm	896.7896389624932-20°C	896.7896389624932-30°C	896.7896389624932-40°C	896.7896389624932-50°C	896.7896389624932-60°C	896.7896389624932-70°C
1.921912349000000177e+04	2.302621417704649436e-03	2.537605383928838443e-03	3.010920849555937581e-03	3.268082796623747715e-03	5.146095969238638837e-03	9.208782092969141492e-03
1.920953904999999941e+04	2.386241301645813245e-03	2.627956660459713698e-03	3.114315811827102383e-03	3.378345756720505747e-03	5.302155484205825844e-03	9.447594865878598119e-03
1.919996446999999898e+04	2.472505597412591460e-03	2.721106436462534996e-03	3.220789622957508438e-03	3.491830703386797179e-03	5.462251079351483282e-03	9.691534400752594217e-03
1.919039975000000049e+04	2.561484283103115326e-03	2.817127485509584358e-03	3.330419313048770761e-03	3.608616908540653555e-03	5.626469017325401792e-03	9.940687155136608555e-03
1.918084485000000132e+04	2.653249268243278603e-03	2.916094630661300244e-03	3.443284112957981959e-03	3.728785940980996333e-03	5.794898047600293214e-03	1.019514215931015440e-02
1.917129977000000144e+04	2.747873693820649006e-03	3.018083993889773831e-03	3.559464599366940225e-03	3.852420757837068770e-03	5.967628111198043823e-03	1.045498901640311111e-02
1.916176449000000139e+04	2.845432541033152476e-03	3.123173658165239244e-03	3.679043452819677051e-03	3.979606514361253358e-03	6.144751459949073132e-03	1.072031956227620896e-02
1.915223900000000140e+04	2.946002392400796834e-03	3.231443415564675629e-03	3.802105173108550999e-03	4.110430263464607756e-03	6.326362216042573892e-03	1.099122716174143373e-02
1.914272327999999834e+04	3.049661691387302830e-03	3.342975053167532642e-03	3.928736407522739893e-03	4.244981307592915649e-03	6.512556841750962409e-03	1.126780737151969816e-02
1.913321731999999975e+04	3.156490590231376871e-03	3.457852195990764391e-03	4.059025775575606301e-03	4.383351015332674974e-03	6.703433863577827265e-03	1.155015748595162282e-02
1.912372109999999884e+04	3.266571231582698562e-03	3.576160617289369462e-03	4.193064224841051846e-03	4.525633202603611231e-03	6.899094377311119561e-03	1.183837724192403351e-02
1.911423460999999952e+04	3.379987592238872622e-03	3.697988078344257006e-03	4.330944853070214928e-03	4.671923947018869275e-03	7.099641768346433637e-03	1.213256835749007383e-02
1.910475782999999865e+04	3.496825789066405812e-03	3.823424665617377802e-03	4.472763294247770506e-03	4.822322001110750794e-03	7.305182254952057204e-03	1.243283528168215822e-02
1.909529074000000037e+04	3.617174048609490475e-03	3.952562766861976440e-03	4.618617695492600352e-03	4.976928771209137604e-03	7.515824831227741962e-03	1.273928505432955771e-02
