Wavenumber	30C-20C	40C-20C	40C-30C	50C-20C	50C-30C	50C-40C	60C-20C	60C-30C	60C-40C	60C-50C	70C-20C	70C-30C	70C-40C	70C-50C	70C-60C
1.381552261999999973e+04	-4.099999999999989070e-04	3.239999999999999825e-03	3.649999999999998732e-03	1.830000000000000029e-03	2.239999999999998936e-03	-1.409999999999999795e-03	1.070999999999999903e-02	1.111999999999999794e-02	7.469999999999999210e-03	8.879999999999999005e-03	2.106000000000000233e-02	2.146999999999999950e-02	1.782000000000000250e-02	1.923000000000000057e-02	1.035000000000000156e-02
1.381069507999999951e+04	-4.500000000000007466e-04	3.300000000000000849e-03	3.750000000000001596e-03	1.749999999999999820e-03	2.200000000000000566e-03	-1.550000000000001030e-03	1.040999999999999912e-02	1.085999999999999986e-02	7.109999999999998266e-03	8.659999999999999296e-03	2.170000000000000054e-02	2.215000000000000302e-02	1.839999999999999969e-02	1.995000000000000245e-02	1.129000000000000142e-02
1.380587106999999924e+04	-4.500000000000007466e-04	3.400000000000000244e-03	3.850000000000000991e-03	1.830000000000000029e-03	2.280000000000000776e-03	-1.570000000000000215e-03	1.013999999999999797e-02	1.058999999999999872e-02	6.739999999999997729e-03	8.309999999999997944e-03	2.219000000000000139e-02	2.264000000000000040e-02	1.879000000000000115e-02	2.035999999999999963e-02	1.205000000000000168e-02
1.380105059000000074e+04	-4.499999999999990119e-04	3.530000000000000152e-03	3.979999999999999163e-03	2.070000000000000659e-03	2.519999999999999671e-03	-1.459999999999999493e-03	9.900000000000000813e-03	1.034999999999999983e-02	6.370000000000000662e-03	7.830000000000000154e-03	2.242999999999999855e-02	2.287999999999999756e-02	1.890000000000000013e-02	2.035999999999999963e-02	1.252999999999999947e-02
1.379623363000000063e+04	-4.200000000000002343e-04	3.669999999999999651e-03	4.089999999999999886e-03	2.449999999999999054e-03	2.869999999999999288e-03	-1.220000000000000598e-03	9.680000000000001104e-03	1.010000000000000134e-02	6.010000000000001452e-03	7.230000000000002050e-03	2.236000000000000140e-02	2.278000000000000164e-02	1.869000000000000175e-02	1.991000000000000408e-02	1.268000000000000030e-02
1.379142017999999916e+04	-4.100000000000006417e-04	3.770000000000000781e-03	4.180000000000001423e-03	2.920000000000000720e-03	3.330000000000001362e-03	-8.500000000000000611e-04	9.510000000000001091e-03	9.920000000000001733e-03	5.740000000000000310e-03	6.590000000000000371e-03	2.197999999999999954e-02	2.239000000000000018e-02	1.820999999999999702e-02	1.906000000000000055e-02	1.246999999999999845e-02
1.378661025999999947e+04	-3.900000000000014566e-04	3.830000000000000071e-03	4.220000000000001528e-03	3.439999999999998614e-03	3.830000000000000071e-03	-3.900000000000014566e-04	9.389999999999999042e-03	9.780000000000000498e-03	5.559999999999998971e-03	5.950000000000000427e-03	2.137999999999999970e-02	2.177000000000000116e-02	1.754999999999999963e-02	1.794000000000000108e-02	1.199000000000000066e-02
1.378180384000000049e+04	-3.899999999999997219e-04	3.830000000000000071e-03	4.219999999999999793e-03	3.919999999999999873e-03	4.309999999999999595e-03	8.999999999999980238e-05	9.349999999999998937e-03	9.739999999999998659e-03	5.519999999999998866e-03	5.429999999999999064e-03	2.063999999999999863e-02	2.103000000000000008e-02	1.680999999999999855e-02	1.671999999999999875e-02	1.129000000000000142e-02
1.377700093000000015e+04	-3.899999999999997219e-04	3.769999999999999046e-03	4.159999999999998768e-03	4.319999999999999188e-03	4.709999999999998910e-03	5.500000000000001416e-04	9.409999999999999962e-03	9.799999999999999684e-03	5.640000000000000915e-03	5.090000000000000774e-03	1.993999999999999939e-02	2.033000000000000085e-02	1.617000000000000381e-02	1.562000000000000194e-02	1.053000000000000116e-02
1.377220152000000053e+04	-3.999999999999993144e-04	3.669999999999999651e-03	4.069999999999998966e-03	4.599999999999999922e-03	4.999999999999999237e-03	9.300000000000002709e-04	9.590000000000001301e-03	9.990000000000000616e-03	5.920000000000001650e-03	4.990000000000001379e-03	1.941999999999999976e-02	1.981999999999999734e-02	1.575000000000000011e-02	1.481999999999999984e-02	9.829999999999998461e-03
