Wavenumber	Minor Gaussian	Major Gaussian
1.825527203999999983e+04	2.803183372219426525e-02	5.251871428390653823e-02
1.824665406000000075e+04	2.963692339700304060e-02	5.354250771174950269e-02
1.823804449999999997e+04	3.131724859422098384e-02	5.457989432632496390e-02
1.822944332999999824e+04	3.307528884299693744e-02	5.563091287936382939e-02
1.822085054999999920e+04	3.491353800389350448e-02	5.669559535203459733e-02
1.821226613999999972e+04	3.683451065038864658e-02	5.777397296831251333e-02
1.820369009000000005e+04	3.884073206259924110e-02	5.886607246743489480e-02
1.819512240000000020e+04	4.093473368248958660e-02	5.997191596554479059e-02
1.818656304000000091e+04	4.311905873954836876e-02	6.109152608434595400e-02
1.817801199999999881e+04	4.539624584798618995e-02	6.222491949053302746e-02
