wavenumber	20ºC	30°C	40°C	50°C	60°C	70°C
17567,51302	0,72814	0,71191	0,71226	0,70248	0,69828	0,69499
17559,55336	0,73984	0,72339	0,72358	0,71352	0,70857	0,70505
17551,60116	0,75151	0,7347	0,73467	0,72422	0,71869	0,71509
17543,65642	0,76304	0,74582	0,74546	0,73452	0,72862	0,72505
17535,71912	0,77432	0,7567	0,75593	0,74441	0,73837	0,73486
17527,78926	0,78525	0,76736	0,7661	0,75392	0,74803	0,74448
17519,86682	0,7958	0,77781	0,77601	0,76312	0,75773	0,75387
17511,9518	0,80598	0,78807	0,78575	0,77212	0,76761	0,76304
17504,04418	0,81585	0,79818	0,7954	0,78104	0,7778	0,772
17496,14395	0,82551	0,8082	0,80503	0,79003	0,78834	0,78081
17488,25111	0,83507	0,81814	0,81468	0,79917	0,79919	0,78956
17480,36564	0,84461	0,82803	0,82436	0,80853	0,81021	0,79833
17472,48753	0,85416	0,83787	0,83401	0,81815	0,8212	0,80721
17464,61677	0,8637	0,84763	0,84358	0,82798	0,83193	0,81628
17456,75336	0,87317	0,85728	0,85297	0,83795	0,84217	0,82556
17448,89727	0,88246	0,86675	0,86212	0,84793	0,85178	0,83506
17441,04851	0,89145	0,87599	0,87095	0,85778	0,86068	0,8447
17433,20706	0,90004	0,88495	0,87947	0,86739	0,8689	0,85435
17425,37291	0,90817	0,89359	0,88766	0,87662	0,87653	0,86387
17417,54605	0,91583	0,90189	0,89558	0,8854	0,88371	0,87308
17409,72646	0,92304	0,90983	0,90327	0,89372	0,8906	0,88183
17401,91415	0,92988	0,91742	0,91078	0,90158	0,8973	0,89001
17394,1091	0,9364	0,92466	0,91811	0,90905	0,90388	0,89757
17386,3113	0,94269	0,93156	0,92528	0,91621	0,91035	0,90452
17378,52074	0,94878	0,93813	0,93225	0,92314	0,91667	0,91095
17370,73741	0,95467	0,94434	0,93896	0,92992	0,92279	0,91698
17362,9613	0,96032	0,95018	0,94535	0,93659	0,92865	0,92275
17355,1924	0,96568	0,95562	0,95136	0,94313	0,93423	0,92838
17347,4307	0,97068	0,96066	0,95695	0,9495	0,93953	0,93395
17339,67619	0,97526	0,96526	0,96209	0,95559	0,9446	0,93947
17331,92885	0,97937	0,96943	0,96677	0,9613	0,9495	0,94488
17324,18869	0,98301	0,97319	0,971	0,96649	0,95429	0,95008
17316,45569	0,98618	0,97656	0,97482	0,97108	0,959	0,95496
17308,72984	0,98893	0,97959	0,97827	0,97501	0,96363	0,95941
17301,01112	0,9913	0,98233	0,98138	0,9783	0,96814	0,96336
17293,29954	0,99334	0,98483	0,98419	0,98102	0,97247	0,9668
17285,59508	0,99508	0,98715	0,98673	0,98327	0,97651	0,9698
17277,89773	0,99656	0,98934	0,98905	0,98522	0,9802	0,9725
17270,20748	0,99779	0,9914	0,99117	0,987	0,98346	0,97504
17262,52432	0,99876	0,99335	0,9931	0,98874	0,98629	0,97757
17254,84824	0,99946	0,99515	0,99485	0,99052	0,98871	0,98023
17247,17923	0,99988	0,99676	0,99642	0,99235	0,99077	0,98306
17239,51728	1	0,99812	0,99776	0,99419	0,99255	0,98604
17231,86239	0,99981	0,99916	0,99885	0,99595	0,99413	0,98908
17224,21453	0,99928	0,9998	0,99961	0,99751	0,99556	0,99202
17216,57371	0,99842	1	1	0,99875	0,99686	0,99469
17208,93991	0,99722	0,99971	0,99997	0,9996	0,99801	0,99691
17201,31313	0,99568	0,99892	0,99951	1	0,99898	0,99856
17193,69335	0,9938	0,99764	0,99862	0,99997	0,99967	0,99959
17186,08056	0,99161	0,99592	0,99735	0,99957	1	1
17178,47475	0,98911	0,99381	0,99575	0,99887	0,9999	0,99988
17170,87592	0,98633	0,99136	0,99389	0,99795	0,9993	0,99935
17163,28406	0,9833	0,98866	0,99186	0,99687	0,99818	0,99854
17155,69915	0,98004	0,98574	0,98968	0,99566	0,99656	0,99759
17148,12118	0,97655	0,98266	0,98738	0,99431	0,99449	0,99656
17140,55016	0,97283	0,97944	0,98494	0,99279	0,99208	0,99547
17132,98606	0,96887	0,97612	0,98233	0,99103	0,98944	0,99428
17125,42887	0,96466	0,97269	0,97948	0,98897	0,98672	0,99291
17117,87859	0,9602	0,96918	0,97634	0,98659	0,98405	0,99125
17110,33522	0,95548	0,96557	0,97288	0,98386	0,98153	0,9892
17102,79873	0,95051	0,96186	0,9691	0,98083	0,97923	0,98669
17095,26912	0,94533	0,95802	0,96502	0,97751	0,97716	0,98373
17087,74638	0,93998	0,95403	0,96069	0,97397	0,97525	0,98036
17080,2305	0,93452	0,94983	0,95619	0,97025	0,97339	0,97668
17072,72147	0,92898	0,94536	0,95157	0,96636	0,9714	0,97285
17065,21928	0,92342	0,94059	0,94687	0,9623	0,96911	0,96901
17057,72393	0,91784	0,93545	0,94213	0,95804	0,96635	0,96531
17050,2354	0,91225	0,92996	0,93733	0,95355	0,96298	0,96184
17042,75368	0,90663	0,92411	0,93245	0,94881	0,95896	0,95863
17035,27877	0,90094	0,91799	0,92746	0,9438	0,95433	0,95567
17027,81065	0,89514	0,91168	0,92233	0,93856	0,9492	0,95286
17020,34932	0,88921	0,90528	0,91704	0,93315	0,94376	0,95009
17012,89477	0,88311	0,89893	0,9116	0,92764	0,93822	0,94721
17005,44699	0,87685	0,8927	0,90604	0,92211	0,93279	0,9441
16998,00596	0,87044	0,88665	0,90038	0,91665	0,92761	0,94066
16990,57168	0,86387	0,88078	0,89466	0,91127	0,92273	0,93681
16983,14414	0,85718	0,87504	0,8889	0,90599	0,91812	0,93253
16975,72333	0,85038	0,86935	0,8831	0,90077	0,91366	0,92785
16968,30925	0,84348	0,8636	0,87725	0,89554	0,90917	0,92281
16960,90188	0,83648	0,85769	0,87131	0,89022	0,90446	0,91747
16953,50121	0,82939	0,85154	0,86524	0,88473	0,89938	0,91189
16946,10723	0,82222	0,8451	0,85902	0,87904	0,89384	0,90613
16938,71994	0,81498	0,83838	0,85263	0,87311	0,88783	0,90025
16931,33933	0,8077	0,83143	0,8461	0,86695	0,88144	0,89429
16923,96538	0,80041	0,8243	0,83946	0,86061	0,87483	0,88829
16916,5981	0,79315	0,8171	0,83277	0,85411	0,86817	0,88229
16909,23746	0,78595	0,80987	0,82608	0,84753	0,86163	0,87633
16901,88346	0,77884	0,80268	0,81944	0,84091	0,85532	0,87045
16894,53609	0,77182	0,79555	0,81289	0,83429	0,84932	0,86471
16887,19535	0,76488	0,78847	0,80641	0,82771	0,84358	0,85912
16879,86122	0,75797	0,78145	0,79997	0,82121	0,83803	0,85374
16872,53369	0,75105	0,77445	0,79355	0,81479	0,83257	0,84854
16865,21276	0,74406	0,76747	0,78708	0,8085	0,82708	0,84353
16857,89842	0,73696	0,76052	0,78052	0,80234	0,82149	0,83866
16850,59065	0,72972	0,7536	0,77387	0,79633	0,81577	0,83385
16843,28946	0,72236	0,74674	0,76711	0,79045	0,80993	0,82902
16835,99482	0,71489	0,73996	0,76028	0,78468	0,80401	0,82409
16828,70673	0,70736	0,73329	0,7534	0,77898	0,79807	0,81894
16821,42519	0,69983	0,72671	0,74653	0,77327	0,79215	0,8135
16814,15018	0,69235	0,72021	0,73971	0,76747	0,78626	0,80771
16806,88169	0,68498	0,71375	0,73296	0,76152	0,78036	0,80151
16799,61973	0,67773	0,7073	0,7263	0,75534	0,77441	0,79493
16792,36427	0,67062	0,70082	0,71972	0,74891	0,76833	0,78799
16785,1153	0,66364	0,69427	0,7132	0,74223	0,76207	0,78078
16777,87283	0,65677	0,68764	0,70672	0,73532	0,75559	0,77343
16770,63684	0,64998	0,68094	0,70025	0,72826	0,74891	0,76606
16763,40732	0,64324	0,67417	0,69377	0,72113	0,74208	0,75884
16756,18426	0,63653	0,66736	0,68728	0,71401	0,73519	0,75189
16748,96766	0,62986	0,66054	0,68075	0,707	0,72831	0,74535
16741,75751	0,6232	0,65374	0,6742	0,70016	0,72152	0,73927
16734,5538	0,61658	0,64698	0,6676	0,69353	0,71488	0,73368
16727,35651	0,60999	0,64027	0,66097	0,68712	0,70839	0,72852
16720,16564	0,60346	0,63363	0,6543	0,68091	0,70203	0,72368
16712,98119	0,59698	0,62706	0,64761	0,67487	0,69574	0,71904
16705,80314	0,59058	0,62058	0,6409	0,66893	0,68948	0,71441
16698,63149	0,58424	0,61419	0,63419	0,66305	0,68321	0,70965
