peakcenter	17289.8119463758-20°C	17277.150453038626-40°C	17271.260566842393-45°C	17262.46575968384-50°C
1.843821433999999863e+04	5.404404461203635851e-02	5.978027668186513405e-02	5.952180866032095313e-02	6.054490810026717101e-02
1.842941686000000118e+04	5.544962081910014690e-02	6.122511893228695795e-02	6.094800857881496614e-02	6.196208160985015867e-02
1.842062805999999910e+04	5.689846014533714302e-02	6.271069416347743730e-02	6.241386885492285208e-02	6.341735250589006223e-02
1.841184792000000016e+04	5.839226006866588686e-02	6.423855849036165522e-02	6.392090019318590055e-02	6.491215701642963354e-02
1.840307643000000098e+04	5.993277695747586953e-02	6.581032414505753880e-02	6.547066864928821617e-02	6.644798526609270450e-02
1.839431356999999844e+04	6.152183000304624338e-02	6.742766365219619862e-02	6.706479982809816776e-02	6.802638554111214986e-02
1.838555933999999979e+04	6.316129619390281613e-02	6.909230488826705041e-02	6.870497409917422638e-02	6.964895966333350952e-02
1.837681371999999828e+04	6.485311781105169981e-02	7.080603890731952677e-02	7.039293440107943778e-02	7.131737083910338892e-02
1.836807669000000169e+04	6.659929907514754166e-02	7.257071673190719496e-02	7.213048317252584996e-02	7.303334074684825206e-02
1.835934824999999910e+04	6.840190188757171164e-02	7.438824530097144783e-02	7.391947846613651507e-02	7.479864584546803974e-02
1.835062839000000167e+04	7.026305140044830644e-02	7.626059337095973667e-02	7.576183986739641607e-02	7.661512337546781681e-02
1.834191707999999926e+04	7.218493815250764944e-02	7.818979391354746733e-02	7.765955096146928693e-02	7.848467394140098974e-02
1.833321431999999913e+04	7.416980659043652391e-02	8.017793287854169115e-02	7.961464839419074568e-02	8.040925090073951231e-02
1.832452009000000180e+04	7.621996508330328157e-02	8.222715957559328936e-02	8.162923220689372039e-02	8.239087072841540238e-02
1.831583438999999998e+04	7.833777572894047581e-02	8.433967680020390545e-02	8.370545625171443849e-02	8.443160376955795299e-02
1.830715720000000147e+04	8.052566250343162757e-02	8.651774933179895433e-02	8.584553667495334328e-02	8.653358277959599665e-02
1.829848849999999948e+04	8.278610528050328599e-02	8.876369831122338239e-02	8.805174652030316185e-02	8.869899781411352824e-02
1.828982829000000129e+04	8.512163260996814806e-02	9.107989445853201249e-02	9.032640920364848336e-02	9.093009003836986792e-02
1.828117655000000013e+04	8.753483013693665049e-02	9.346876683405787312e-02	9.267190725726880129e-02	9.322916052614356464e-02
1.827253326999999990e+04	9.002833046280145357e-02	9.593279317898176228e-02	9.509067298242165900e-02	9.559856130911413563e-02
1.826389843000000110e+04	9.260481619893232152e-02	9.847450335588664450e-02	9.758519196947139374e-02	9.804069905401598117e-02
1.825527203999999983e+04	9.526700511449676112e-02	1.010964651246761964e-01	1.001579892812354128e-01	1.005580217675311194e-01
