Wavenumber	40C-20C	45C-20C	45C-40C	50C-20C	50C-40C	50C-45C
1.657768359000000055e+04	4.426999999999997604e-02	5.263000000000001011e-02	8.360000000000034071e-03	6.697000000000002951e-02	2.270000000000005347e-02	1.434000000000001940e-02
1.657062559999999939e+04	4.410000000000002807e-02	5.184999999999995168e-02	7.749999999999923617e-03	6.669000000000002704e-02	2.258999999999999897e-02	1.484000000000007535e-02
1.656357384000000093e+04	4.380000000000006111e-02	5.100000000000004530e-02	7.199999999999984190e-03	6.615000000000004210e-02	2.234999999999998099e-02	1.514999999999999680e-02
1.655652832000000126e+04	4.342000000000001414e-02	5.027000000000003688e-02	6.850000000000022737e-03	6.544000000000005368e-02	2.202000000000003954e-02	1.517000000000001680e-02
1.654948901000000114e+04	4.300999999999999268e-02	4.981000000000002093e-02	6.800000000000028244e-03	6.463000000000002077e-02	2.162000000000002808e-02	1.481999999999999984e-02
1.654245591000000059e+04	4.263000000000000123e-02	4.966999999999999194e-02	7.039999999999990710e-03	6.381999999999998785e-02	2.118999999999998662e-02	1.414999999999999591e-02
1.653542901999999958e+04	4.231000000000001426e-02	4.981000000000002093e-02	7.500000000000006661e-03	6.307000000000001494e-02	2.076000000000000068e-02	1.325999999999999401e-02
1.652840831999999864e+04	4.205999999999998629e-02	5.007000000000000339e-02	8.010000000000017106e-03	6.237999999999999101e-02	2.032000000000000473e-02	1.230999999999998762e-02
1.652139381000000139e+04	4.183999999999998831e-02	5.025999999999997137e-02	8.419999999999983054e-03	6.176999999999999158e-02	1.993000000000000327e-02	1.151000000000002021e-02
1.651438547000000108e+04	4.163000000000000034e-02	5.019999999999996687e-02	8.569999999999966533e-03	6.120999999999998664e-02	1.957999999999998630e-02	1.101000000000001977e-02
1.650738331000000107e+04	4.136000000000000787e-02	4.971999999999998643e-02	8.359999999999978559e-03	6.064999999999998170e-02	1.928999999999997383e-02	1.092999999999999527e-02
1.650038729999999850e+04	4.103999999999996540e-02	4.880000000000001004e-02	7.760000000000044640e-03	6.008999999999997677e-02	1.905000000000001137e-02	1.128999999999996673e-02
1.649339745000000039e+04	4.062000000000004496e-02	4.747000000000001219e-02	6.849999999999967226e-03	5.949999999999999734e-02	1.887999999999995238e-02	1.202999999999998515e-02
1.648641374999999971e+04	4.014000000000000901e-02	4.589000000000004187e-02	5.750000000000032863e-03	5.887000000000003341e-02	1.873000000000002441e-02	1.297999999999999154e-02
1.647943618000000060e+04	3.962999999999999856e-02	4.426000000000002155e-02	4.630000000000022986e-03	5.821999999999999398e-02	1.858999999999999542e-02	1.395999999999997243e-02
1.647246473999999944e+04	3.912999999999999812e-02	4.280000000000000471e-02	3.670000000000006590e-03	5.754999999999999005e-02	1.841999999999999194e-02	1.474999999999998535e-02
1.646549942000000010e+04	3.870000000000001217e-02	4.171999999999997932e-02	3.019999999999967155e-03	5.690000000000000613e-02	1.819999999999999396e-02	1.518000000000002681e-02
1.645854021999999895e+04	3.838000000000002521e-02	4.116000000000002990e-02	2.780000000000004690e-03	5.627999999999999670e-02	1.789999999999997149e-02	1.511999999999996680e-02
1.645158712000000014e+04	3.817999999999999172e-02	4.114999999999996438e-02	2.969999999999972662e-03	5.573000000000000176e-02	1.755000000000001004e-02	1.458000000000003737e-02
1.644464012000000002e+04	3.810000000000002274e-02	4.164000000000001034e-02	3.539999999999987601e-03	5.528000000000005132e-02	1.718000000000002858e-02	1.364000000000004098e-02
1.643769919999999911e+04	3.811999999999998723e-02	4.248999999999997224e-02	4.369999999999985008e-03	5.494999999999999885e-02	1.683000000000001162e-02	1.246000000000002661e-02
1.643076437000000078e+04	3.821000000000002172e-02	4.353000000000001313e-02	5.319999999999991402e-03	5.479000000000000536e-02	1.657999999999998364e-02	1.125999999999999224e-02
1.642383560999999827e+04	3.831000000000001071e-02	4.454000000000002402e-02	6.230000000000013305e-03	5.480000000000001537e-02	1.649000000000000465e-02	1.025999999999999135e-02
1.641691291999999885e+04	3.843000000000001970e-02	4.536000000000001142e-02	6.929999999999991722e-03	5.500000000000004885e-02	1.657000000000002915e-02	9.640000000000037428e-03
