wavenumber	20°C	40°C	45°C	50°C
17216,57371	0,99103	0,99631	0,99843	0,99993
17208,93991	0,98825	0,99471	0,99726	0,99944
17201,31313	0,98524	0,99284	0,99581	0,99842
17193,69335	0,98203	0,99071	0,9941	0,9968
17186,08056	0,97868	0,98835	0,99214	0,99459
17178,47475	0,9752	0,98575	0,98994	0,99184
17170,87592	0,9716	0,98294	0,98746	0,98866
17163,28406	0,96785	0,97992	0,98466	0,98521
17155,69915	0,96395	0,9767	0,98149	0,98166
17148,12118	0,95987	0,9733	0,97792	0,97813
17140,55016	0,95557	0,96972	0,97394	0,97474
17132,98606	0,95103	0,96596	0,96956	0,9715
17125,42887	0,94623	0,96204	0,96484	0,96839
17117,87859	0,94114	0,95794	0,95988	0,96529
17110,33522	0,93576	0,95368	0,95482	0,96209
17102,79873	0,93012	0,94926	0,94978	0,95865
17095,26912	0,92424	0,94467	0,94488	0,95487
17087,74638	0,91815	0,93991	0,9402	0,9507
17080,2305	0,91191	0,93499	0,93576	0,94615
17072,72147	0,90556	0,92991	0,93154	0,94128
17065,21928	0,89915	0,92466	0,92744	0,93622
17057,72393	0,89271	0,91925	0,9233	0,93108
17050,2354	0,88627	0,91369	0,91898	0,92598
17042,75368	0,87982	0,90799	0,91432	0,921
17035,27877	0,87337	0,90215	0,9092	0,91615
17027,81065	0,86691	0,89618	0,90357	0,9114
17020,34932	0,86044	0,8901	0,89746	0,90665
17012,89477	0,85396	0,88393	0,89096	0,90178
17005,44699	0,84746	0,87766	0,88423	0,89666
16998,00596	0,84095	0,87133	0,87744	0,89116
16990,57168	0,8344	0,86495	0,87076	0,88522
16983,14414	0,82781	0,85852	0,86431	0,8788
16975,72333	0,82115	0,85206	0,85815	0,87195
16968,30925	0,81441	0,84558	0,85222	0,86475
16960,90188	0,80755	0,83909	0,84643	0,85734
16953,50121	0,80056	0,83259	0,84061	0,84986
16946,10723	0,79347	0,82609	0,8346	0,84247
16938,71994	0,78628	0,81959	0,82827	0,83529
16931,33933	0,77904	0,8131	0,82153	0,8284
16923,96538	0,77182	0,80659	0,8144	0,82184
16916,5981	0,76465	0,80008	0,80697	0,81558
16909,23746	0,75757	0,79357	0,7994	0,80955
16901,88346	0,7506	0,78703	0,79188	0,80363
16894,53609	0,74372	0,78047	0,78456	0,79772
16887,19535	0,73688	0,77389	0,77758	0,79168
16879,86122	0,73005	0,76728	0,77097	0,78544
16872,53369	0,72316	0,76063	0,76468	0,77896
16865,21276	0,71618	0,75396	0,75863	0,77223
16857,89842	0,70911	0,74725	0,75266	0,76531
16850,59065	0,70195	0,74052	0,74666	0,75828
16843,28946	0,69475	0,73376	0,74054	0,75123
16835,99482	0,68754	0,72699	0,73425	0,74425
16828,70673	0,68035	0,72021	0,72781	0,7374
16821,42519	0,67319	0,71342	0,72128	0,73074
16814,15018	0,66606	0,70665	0,71472	0,72424
16806,88169	0,65891	0,6999	0,70817	0,71788
16799,61973	0,65171	0,69317	0,70164	0,71159
16792,36427	0,64442	0,68648	0,69508	0,70531
16785,1153	0,63705	0,67984	0,68841	0,69898
16777,87283	0,6296	0,67325	0,68157	0,69256
16770,63684	0,62216	0,66671	0,67453	0,68606
16763,40732	0,61481	0,66024	0,66731	0,67949
16756,18426	0,60765	0,65383	0,66001	0,67291
16748,96766	0,60076	0,64748	0,65279	0,66639
16741,75751	0,59419	0,6412	0,64585	0,65998
16734,5538	0,58793	0,63498	0,63936	0,65373
16727,35651	0,58193	0,62881	0,63343	0,64766
16720,16564	0,57612	0,62271	0,62806	0,64176
16712,98119	0,5704	0,61666	0,62314	0,63599
16705,80314	0,56468	0,61066	0,61847	0,6303
16698,63149	0,55892	0,6047	0,61379	0,62462
16691,46622	0,5531	0,59879	0,60883	0,6189
16684,30733	0,54726	0,59292	0,60342	0,6131
16677,15481	0,54145	0,5871	0,59747	0,60723
16670,00865	0,53573	0,58131	0,59104	0,60131
16662,86884	0,53016	0,57556	0,58429	0,59539
16655,73538	0,52475	0,56986	0,57747	0,58953
16648,60825	0,51947	0,56419	0,57083	0,58379
16641,48745	0,51428	0,55858	0,56459	0,57822
16634,37297	0,50909	0,553	0,55886	0,57285
16627,2648	0,50384	0,54748	0,55365	0,56768
16620,16293	0,49849	0,54201	0,54884	0,56267
16613,06735	0,49304	0,5366	0,54424	0,55777
16605,97806	0,48751	0,53124	0,53964	0,55293
16598,89505	0,48198	0,52594	0,53485	0,54808
16591,8183	0,47654	0,52071	0,52977	0,54318
16584,74782	0,47125	0,51555	0,52439	0,53821
16577,68359	0,46618	0,51045	0,51881	0,53315
16570,6256	0,46133	0,50543	0,51318	0,52802
16563,57384	0,45668	0,50048	0,50768	0,52283
16556,52832	0,45219	0,49561	0,50246	0,51763
16549,48901	0,44781	0,49082	0,49762	0,51244
16542,45591	0,44348	0,48611	0,49315	0,5073
16535,42902	0,43917	0,48148	0,48898	0,50224
16528,40832	0,43488	0,47694	0,48495	0,49726
16521,39381	0,43064	0,47248	0,4809	0,49241
16514,38547	0,42648	0,46811	0,47668	0,48769
16507,38331	0,42246	0,46382	0,47218	0,48311
16500,3873	0,41859	0,45963	0,46739	0,47868
